,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count
33,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sun Jan 17 20:14:37 +0000 2016,"political analyst, Defender,Manchester United fan since 2000..",3054,400,1669,en-gb,,Ahmad karaye Jnr:,3020
34,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Mon Aug 15 14:57:59 +0000 2016,"Political Junkie. Independent. HUGE Trump fan, love my country! 🇺🇸❤️ I block trolls and ill-mannered liberals, just for fun 😉 https://t.co/QjQlf3VXqZ",26897,7032,7735,en,USA,Les Deplorable Kat,48725
35,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sat Sep 06 04:25:22 +0000 2014,Entertainment & Independent Journalist | Photog | CEO | I Report On POTUS Trump 🇺🇸 At WH & Across the United States | #UNFNEWS (UNIVERSAL NEWS FOREVER),3374,2214,3182,en,New York✈️Los Angeles,Kyle Mazza,38233
36,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Wed Sep 12 11:38:21 +0000 2012,Trump isn't perfect but he's risking everything to help Americans beaten down by self serving elites in politics and media. #maga Jobs!!!,161,1429,1366,en,12th and Penn NW Washington DC,jim franklin,41667
37,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sat Jan 28 08:54:23 +0000 2017,,368,42,266,en,,frank makundi,304
38,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Sun Dec 18 20:49:06 +0000 2016,News News,6869,120,93,en,"Boynton Beach, FL",Victoria Hirsch,2180
39,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",927847349648609280,Mon Jul 17 22:47:13 +0000 2017,,0,1,0,ja,,Елена Руднева,471
40,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Mon Jun 26 18:35:47 +0000 2017,"Media illiterate, isolated 30yrs. 100℅ Christian Trumper. Jesus is my only true friend. Join the Trump Train.",32188,2844,4999,en,10-15 miles from border of Mex,Jay Kay,55631
41,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Fri Nov 10 10:21:04 +0000 2017,,20,4,98,en,,Donald J. Trump,42
42,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Mon May 26 02:42:41 +0000 2014,Follow me if you support #Trump,13638,217,665,en,,Deplorable & Proud,14756
43,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",927847349648609280,Thu Sep 15 05:17:33 +0000 2016,,80,80,321,ko,,camp apache cia,8861
44,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Fri Nov 10 09:44:01 +0000 2017,,329,6,1,en,,Jasmine,323
45,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sat Nov 03 04:59:28 +0000 2012,#ggmu,2156,628,263,en,Malaysia,Akرam,23408
46,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Thu Aug 03 04:33:16 +0000 2017,Sport,2404,1019,4794,en,Myanmar,hlainghtooaung,394
47,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Tue Mar 08 06:56:06 +0000 2016,"God, Father ,American , Used to be a Democrat but Now is a Republican #MAGA , #AmericaFirst #BlackoutCNN NO HYPER-Sensitive PC POLICE U WILL B BLOCKED!!!",27141,1781,2481,en,"Illinois, USA",Tom C,30414
48,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Fri Feb 05 01:27:31 +0000 2016,"In this present crisis, government is not the solution to our problem, government IS the problem.  -Ronald Reagan

https://t.co/EoFyPKbKlM",29418,3962,3657,en,,JETMEDIA,34326
49,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",927847349648609280,Tue Nov 04 02:19:38 +0000 2014,"I'm a husband and father in beautiful #Surrey, BC, Canada!",100,775,803,en,"Surrey, British Columbia",Darren Cochran,33187
50,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sun Mar 13 07:12:14 +0000 2011,#MAGA #WeThePeople #Military #Vets #LockHerUp #Covfefe #AmericaFirst #6GenerationsofTexans #TexasTeacher #BlueLivesMatter #Deplorable #1A #2A #45Trump #Winning,138168,14203,13184,en,"Dallas, Texas",Pj #BoycottNFL 🏈,121174
51,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sun Jun 12 21:46:09 +0000 2016,Estate and land agent  R&B/Soul Hip-Hop/Rap Music . logistics n procurement,41,71,70,en,"Accra, Ghana",Jay,6058
52,,0,,en,,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",927847349648609280,Fri Jun 10 21:10:21 +0000 2011,Don't fuckin bug me.  Single! 😍👽✌🌴,268,143,47,en,"Copperas Cove, TX",Shamik Menjivar,6645
53,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Wed Sep 16 05:58:26 +0000 2015,,2408,21,24,en,,John J Petito,3819
54,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Wed Oct 25 22:49:40 +0000 2017,,225,5,60,zh-cn,,波波,233
55,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",927847349648609280,Mon Oct 22 22:24:13 +0000 2012,God does have a role for America to play in this end-time scenario. We Christians are responsible to keep America the Christian based nation it once was. VOTE,54589,7459,6060,en,Texas,Eileen Townsend,119958
56,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Tue Feb 09 16:03:46 +0000 2010,うぃ でぃど いっ 高杉から高杉,3787,133,286,ja,hellabellapg,ＭＯＣＡ,4873
57,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Wed Aug 19 07:39:28 +0000 2015,,12528,221,369,en,,.kim welch,14533
58,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Mon May 01 02:36:26 +0000 2017,"Hello,i m tuhin .i am student  & studying sunamgonj govt collage & love my family mothers ,brothers,sister,love my country Bangladesh,i love all twitter friends",8699,616,4798,en,"Sunamgonj,Dhaka, Bangladesh",Tuhin,7136
59,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sun Nov 08 05:00:41 +0000 2015,DEPLORABLE  I  AM,17909,81,4,en,"Illinois, USA",DEPLORABLE--Hanlie74,17761
60,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Thu Jun 24 00:59:27 +0000 2010,"True Ga Peach. Love my Falcons, Dawgs, Braves, and GSU Eagles. Whatcha see IS whatcha get! Make me laugh & we just might be friends!",16266,1115,1496,en,Georgia,☆●Julie●☆,9621
